Titel,Synonyms,Brand Names
"Raltitrexed","raltitrexed; ZD-1694; ZD1694","Tomudex"
"Etonogestrel","etonogestrel","Implanon"
"Morphine","(-)-Heroin hydrochloride; (-)-Morphine; D-(-)-Morphine; Diacetylmorphine hydrochloride; Diamorphine hydrochloride; Heroin hydrochloride; Heroine hydrochloride; Morphin; Morphina; morphine; Morphine Sulfate; Morphinum; O,O'-Diacetylmorphine hydrochloride","Apokyn; Astramorph PF; Avinza; Depodur; Dulcontin; Duramorph PF; Duromorph; Epimorph; Kadian; l-Morphine; M-Eslon; M.O.S; Meconium; Morfina; Morphia; Morphine Extra-Forte; Morphine Forte; Morphine H.P; Morphinism; Morphitec; Morphium; Moscontin; Ms Contin; MS/L; MS/S; MSIR; Nepenthe; OMS Concentrate; Oramorph SR; Ospalivina; Rescudose; RMS Uniserts; Roxanol; Roxanol 100; Roxanol UD; Statex; Statex Drops"
"Ropivacaine","Ropivacaina [INN-Spanish]; Ropivacaina [Spanish]; Ropivacaine [INN]; Ropivacainum [INN-Latin]; S-Ropivacaine","Naropin"
"Bupivacaine","(+-)-Bupivacaine; Bloqueina; Bupivacaina [INN-Spanish]; bupivacaine; Bupivacaine HCL; Bupivacaine HCL KIT; Bupivacainum [INN-Latin]; cBupivacaine; DL-Bupivacaine; DUR-843; LAC-43","Anekain; Bupivan; Carbostesin; Chirocaine; DepoBupivacaine; Marcaina; Marcaine; Marcaine HCL; Marcaine Spinal; Sensorcaine; Sensorcaine-MPF; Sensorcaine-MPF Spinal; Transdur-Bupivacaine"
"Dapiprazole",,"Rev-Eyes"
"Penciclovir","PE2; Penciclovirum [INN-Latin]","Denavir"
"Tenofovir","D,L-Tenofovir; PMPA; TDF; Tenofovir disoproxil; Tenofovir disoproxil fumarate","Apropovir; Viread"
"Flucloxacillin","Floxacillin; Flucloxacilina [INN-Spanish]; Flucloxacillin Sodium; Flucloxacillin-Sodium; Flucloxacilline [INN-French]; Flucloxacillinum [INN-Latin]","Floxapen; Fluclox; Sesamol"
"Tranexamic Acid","Tranexamsaeure; tranexmic acid; Tranhexamic acid; Trans AMCHA; trans-4-aminomethylcyclohexane-1-carboxylic acid; trans-Amcha; trans-Tranexamic acid","Amcha; Amikapron; Amstat; Anvitoff; Carxamin; Cyclocapron; Cyklokapron; Emorhalt; Frenolyse; Mastop; Rikavarin; Rikavarin-S; Tamcha; Tranexan; Transamin; Trasamlon; Ugurol"
"Ertapenem","ertapenem; MK-0826","Invanz"
"Desogestrel","Desogestrelum [INN-Latin]","Cerazette"
"Mitomycin","7-Amino-9&alpha;-methoxymitosane; Mitamycin; MMC","Ametycin; Ametycine; Mit-C; Mito-C; Mitocin-C; Mitomycin (TN); Mitomycin C; Mitomycin-C; Mitomycinum; Mitomycinum C; Mitomycyna C [Polish]; Mitozytrex; Muamycin; Mutamycin; Mytomycin; Mytozytrex"
"Talbutal","5-Allyl-5-sec-butylbarbituric acid; sec-Butyl allyl barbituric acid","Latusate; Lotusate; Profundol"
"Bexarotene","bexarotene","Targret; Targretin; Targretin-gel; Targretyn; Targrexin"
"Ibutilide","Ibutilida [INN-Spanish]; Ibutilide; Ibutilide Fumarate; Ibutilidum [INN-Latin]","Corvert"
"Vindesine","Desacetylvinblastine Amide Sulfate; Vindesine Sulfate","DAVA; Eldesine; Eldisine"
"Chlorthalidone","Chlorothalidone; Chlorphthalidolone; Chlorphthalidone; Chlortalidone; Chlorthalidon; Clodronic Acid","Higroton; Hydro-Long; Hygroton; Igroton; Isoren; Natriuran; Oradil; Phthalamodine; Phthalamudine; Renon; Saluretin; Tenoretic; Thalitone; Zambesil"
"Ethoxzolamide","6-Ethoxy-1,3-benzothiazole-2-sulfonamide; Ethoxazolamide; Ethoxyzolamide; Etoxzolamide","Cardrase; Diuretic C; Ethamide; Glaucotensil; Redupresin"
"Pentobarbital","Pentabarbital; Pentabarbitone; Pentobarbital Sodium; Pentobarbitone; Pentobarbiturate; Pentobarbituric acid; Sodium Pentobarbital","Dorsital; Ethaminal; Mebubarbital; Mebumal; Nebralin; Nembutal; Nembutal Sodium; Neodorm; Rivadorm"
"Valproic Acid","Di-n-propylacetic acid; Di-n-propylessigsaure; Dipropylacetic acid; DPA; Kyselina 2-propylvalerova; Myproic Acid; n-Dipropylacetic acid; n-DPA; Propylvaleric acid; Sodium hydrogen divalproate; Valproate semisodique [French]; Valproate semisodium; Valproato semisodico [Spanish]; Valproatum seminatricum [Latin]","Alti-Valproic; Avugane; Baceca; Convulex; Delepsine; Depakene; Depakine; Deproic; Dom-Valproic; Epilex; Epilim; Epival; Ergenyl; Med Valproic; Mylproin; Novo-Valproic; Nu-Valproic; Penta-Valproic; PMS-Valproic Acid; Sprinkle; Valcote; Valparin; Valproic acid USP; Valproic acid USP24"
"Capreomycin","Capastat; Capastat sulfate; Capreomycin; Capreomycin sulfate; Capreomycin sulphate","Caprocin; Ogostal"
"Zolmitriptan","ZMT; zolmitriptan","AscoTop; Zomig; Zomig Rapimelt; Zomigon"
"Acetaminophen","Acetaminofen; APAP; Paracetamol; Paracetamolo; Paracetanol","Abenol; Abensanil; Acamol; Accu-Tap; Acephen; Aceta Elixir; Aceta Tablets; Acetagesic; Acetalgin; Actamin; Actimol; Algotropyl; Allay; Alpiny; Alpinyl; Alvedon; Amadil; Aminofen; Anacin; Anacin-3; Anaflon; Anapap; Anelix; Anhiba; Apacet; Apadon; Apamid; Apamide; Atasol; Banesin; Bayer Select; Bickie-mol; Bucet; Butapap; Calpol; Captin; Cetadol; Clixodyne; Co-Gesic; Conacetol; Dafalgan; Dapa; Dapa X-S; Darvocet; Datril; Dimindol; Dirox; Disprol; Dolene AP-65; Doliprane; Dolprone; Drixoral Plus; Dularin; Dymadon; Dypap; Elixodyne; Enelfa; Eneril; Eu-Med; Excedrin; Exdol; Febridol; Febrilix; Febrinol; Febro-Gesic; Febrolin; Fendon; Feverall; Fevor; Finimal; Gelocatil; Genapap; Genebs; Hedex; Homoolan; Hy-Phen; Injectapap; Janupap; Korum; Lestemp; Liquagesic; Liquiprin; Lonarid; Lyteca; Momentum; Multin; NAPA; Napafen; Napap; Naprinol; Nealgyl; Nebs; Neopap; Neotrend; Nobedon; Norco; Oraphen-PD; Ortensan; Pacemo; Painex; Paldesic; Panadol; Panaleve; Panasorb; Panets; Panex; Panofen; Papa-Deine; Paracet; Parapan; Paraspen; Parelan; Parmol; Pasolind; Pasolind N; Pedric; Phenaphen; Phenaphen Caplets; Phendon; Phrenilin; Phrenilin Forte; Prompt; Propacet 100; Proval #3; Pyrinazine; Redutemp; Rivalgyl; Robigesic; Rounox; Salzone; Sedapap; Servigesic; SK-Apap; Snaplets-FR; St. Joseph Fever Reducer; Suppap; Synalgos-Dc-A; Tabalgin; Talacen; Tapanol; Tapar; Tavist Allergy/Sinus/Headache; Temlo; Tempanal; Tempra; Tencon; Tibinide; Tibizide; Tisin; Tisiodrazida; Tizide; Tralgon; Triaprin; Tussapap; Tycolet; Tylenol; Ultracet; Valadol; Valgesic; Valorin; Valorin Extra; Wygesic"
"Gefitinib","ZD-1839; ZD1839","Iressa; Irressat; Tarceva"
"Codeine","Codeine anhydrous; L-Codeine; Methylmorphine; Morphine monomethyl ether; Norcodeine, N-Methyl; Norcodine, N-Methyl","Codicept; Coducept"
"Piperacillin","Piperacillin Anhydrous","Pipracil"
"Dihydroergotamine","9,10-dihydro-ergotamine; Dihidroergotamina [INN-Spanish]; Dihydroergotamine mesylate; Dihydroergotamine methanesulfonate; Dihydroergotamine monomethanesulfonate; Dihydroergotaminum [INN-Latin]","Agit; Angionorm; D.H.E.; D.H.E. 45; Dergotamine; DET MS; DHE-45; Diergo; Dihydergot; Dirgotarl; Endophleban; Ergomimet; Ergont; Ergotonin; Ikaran; Migranal; Morena; Orstanorm; Tonopres; Verladyn"
"Amitriptyline","Amitriprolidine; Amitriptylin; Amitriptyline HCL; Amitriptyline Hydrochloride; Amitryptiline; Amitryptyline; Amytriptiline","Adepress; Adepril; Amitid; Amitril; Damilan; Damilen; dAmitriptyline; Elanil; Elavil; Endep; Flavyl; Hexathane; Horizon; Lantron; Laroxil; Laroxyl; Lentizol; Proheptadiene; Redomex; Saroten; Sarotex; Seroten; Sylvemid; Triptanol; Triptilin; Triptisol; Tryptanol; Tryptizol"
"Floxuridine","5 Fluorodeoxyuridine; 5FDU; Deoxyfluorouridine; FDUR; FDURD; Floxiridina [INN-Spanish]; Floxuridin; Floxuridinum [INN-Latin]; Fluorodeoxyuridine; Fluoruridine Deoxyribose","FUDR"
"Tolcapone",,"Tasmar"
"Fluorometholone","Fluormetholon; Fluormetholone; Fluoromethalone; FML","Cortilet; Delmeson; Efflumidex; Flarex; Fluaton; Flumetholon; Fluor-op; FML Forte; FML Liquifilm; Loticort; Oxylone; Trilcin; Ursnon"
"Nitroprusside","Disodium nitroprusside dihydrate; Sodium nitroferricyanide dihydrate; Sodium Nitroprusside; Sodium nitroprusside dihydrate","Nipride; Nitropress"
"Calcium Gluceptate","Calcium glucoheptonate; Trimethylene chlorobromide","Calcium Stanley"
"Hydromorphone","Dihydromorfinon [Czech]; Dihydromorphinone; Hidromorfona [INN-Spanish]; Hydromorfona [Spanish]; Hydromorphon; Hydromorphone HCL; Hydromorphonum [INN-Latin]","Dilaudid; Dilaudid Oros; Dilaudid-hp; DiMo; Dimorphone; Hymorphan; Idromorfone; Laudacon; Laudicon; Novolaudon; Palladone; Paramorphan"
"Indomethacin","IMN; Indometacine; Indometacyna; indomethacin; Indomethacine; Indomethacinum; Indomethancin; Indomethazine; Indomethine; Indometicina","Amuno; Apo-Indomethacin; Argun; Arthrexin; Artracin; Artrinovo; Artrivia; Bonidin; Bonidon; Bonidon Gel; Catlep; Chibro-Amuno; Chrono-Indicid; Chrono-Indocid; Confortid; Dolcidium; Dolcidium Pl; Dolovin; Durametacin; Elmetacin; Flexin Continus; Hicin; Idomethine; Imbrilon; Inacid; Indacin; Indaflex; Indameth; Indmethacine; Indo-Lemmon; Indo-Phlogont; Indo-Rectolmin; Indo-Spray; Indo-Tablinen; Indocid; Indocid Pda; Indocid Sr; Indocin; Indocin I.V; Indocin I.V.; Indocin Sr; Indolar Sr; Indomecol; Indomed; Indomee; Indomethegan; Indomo; Indomod; Indoptic; Indoptol; Indorektal; Indoxen; Inflazon; Infrocin; Inteban Sp; Lausit; Liometacen; Metacen; Metartril; Methazine; Metindol; Miametan; Mikametan; Mobilan; Novo-Methacin; Novomethacin; Nu-Indo; Reumacide; Rhemacin La; Rheumacin La; Sadoreum; Tannex; Vonum"
"Ethambutol","Aethambutolum; D-Ethambutol; EMB; Etambutol [INN-Spanish]; Etambutolo [DCIT]; Ethambutol dihydrochloride; Ethambutol HCL; Ethambutol Hydrochloride; Ethambutol, racemic mixture; Ethambutolum [INN-Latin]","Dadibutol; Diambutol; Etibi; Myambutol; Tibutol"
"Metformin","Metformin HCL; metformin hydrochloride","Apo-Metformin; Fortamet; Gen-Metformin; Glucophage; Glucophage XR; Glumetza; Glycon; Mylan-Metformin; Novo-Metformin; Nu-Metformin; PMS-Metformin; Ran-Metformin; Ratio-Metformin; Riomet; Sandoz Metformin; Teva-Metformin"
"Ipratropium bromide","Ipatropium Bromide; ipratropium; Ipratropium Bromide; N-Isopropylatropine","Aerodose; Aerovent; Apo-Ipravent; Apovent; Atronase; Atrovent; Atrovent Aerosol; Atrovent HFA; Atrovent Nasal; Bitrop; Disne-Asmol; Ipravent; Ipvent; Kendral-Ipratropium; Narilet; Rhinotrop; Rhinovent; Rinatec; Rinoberen; Rinovagos; Vagos"
"Methadone","(+/-)-Methadone; (+/-)-Methadone hydrochloride; dl-Methadone; DL-Methadone hydrochloride; Methadon; Methadone HCL; Methadone hydrochloride; Phenadone hydrochloride","(+/-)-Tussal; Adanon; Adanon hydrochloride; Adolan; Algidon; Algolysin; Algovetin; Althose hydrochloride; Amidon; Amidone; Biscuits; Butalgin; Depridol; Diaminon; Diaminon hydrochloride; Dollies; Dolly; Dolofin hydrochloride; Dolohepton; Dolophin; Dolophin hydrochloride; Dolophine; Dolophine HCL; Fenadon; Fenadone; Heptadon; Heptadone; Heptanon; Ketalgin; Ketalgin hydrochloride; Mecodin; Mephenon; Methadone HCL Intensol; Methadone M; Methadose; Methaquaione; Miadone; Moheptan; Phenadone; Physeptone; Polamidon; Polamidone; Tussol; Westadone"
"Olanzapine","olanzapine","Olansek; Symbyax; Zydis; Zyprexa; Zyprexa Intramuscular; Zyprexa Zydis"
"Atenolol",,"Aircrit; Alinor; Altol; Anselol; Antipressan; Apo-Atenolol; Atcardil; Atecard; Atehexal; Atenblock; Atendol; Atenet; Ateni; Atenil; Atenol; Atenol 1A Pharma; Atenol Acis; Atenol AL; Atenol Atid; Atenol Cophar; Atenol CT; Atenol Fecofar; Atenol Gador; Atenol Genericon; Atenol GNR; Atenol Heumann; Atenol MSD; Atenol NM Pharma; Atenol Nordic; Atenol PB; Atenol Quesada; Atenol Stada; Atenol Tika; Atenol Trom; Atenol Von CT; Atenol-Mepha; Atenol-Ratiopharm; Atenol-Wolff; Atenolin; Atenomel; Atereal; Aterol; Betablok; Betacard; Betasyn; Betatop GE; Blocotenol; Blokium; Cardaxen; Cardiopress; Corotenol; Cuxanorm; Duraatenolol; Duratenol; Evitocor; Farnormin; Felo-Bits; Hipres; Hypoten; Ibinolo; Internolol; Jenatenol; Juvental; Lo-Ten; Loten; Lotenal; Myocord; Normalol; Normiten; Noten; Oraday; Ormidol; Panapres; Plenacor; Premorine; Prenolol; Prenormine; Prinorm; Scheinpharm Atenol; Seles Beta; Selobloc; Serten; Servitenol; Stermin; Tenidon; Teno-Basan; Tenobloc; Tenoblock; Tenolol; Tenoprin; Tenormin; Tenormine; Tensimin; Tredol; Unibloc; Uniloc; Vascoten; Vericordin; Wesipin; Xaten"
"Nitrofurazone","NF; NFZ; Nitrofurazan","Actin-N; Aldomycin; Alfucin; Amifur; Babrocid; Becafurazone; Biofuracina; Biofurea; Chemofuran; Chixin; Cocafurin; Coxistat; Dermofural; Dymazone; Dynazone; Eldezol; Eldezol F-6; Fedacin; Flavazone; Fracine; Furacilin; Furacillin; Furacin; Furacin Soluble Dressing; Furacin Topical Cream; Furacin Topical Solution; Furacin-E; Furacin-HC; Furacine; Furacinetten; Furacoccid; Furacort; Furacycline; Furaderm; Furagent; Furalcyn; Furaldon; Furalone; Furametral; Furan-Ofteno; Furaplast; Furaseptyl; Furaskin; Furatsilin; Furaziline; Furazin; Furazina; Furazol W; Furazone; Furazyme; Furesol; Furfurin; Furosem; Fuvacillin; Hemofuran; Ibiofural; Mammex; Mastofuran; Monafuracin; Monafuracis; Monofuracin; Nefco; NF-7; NFS; Nifucin; Nifurid; Nifuzon; Nitrofural; Nitrofuran; Nitrofurane; Nitrofurol; Nitrozone; Otofural; Otofuran; Sanfuran; Spray-Dermis; Spray-Foral; Vabrocid; Vadrocid; Yatrocin"
"Pimecrolimus","ASM 981; pimecrolimus; SDZ ASM 981","Elidel"
"Omeprazole","OMEP; Omeprazol [INN-Spanish]; omeprazole; Omeprazole magnesium; Omeprazolum [INN-Latin]; OMP; OMZ","Antra; Audazol; Aulcer; Belmazol; Ceprandal; Danlox; Demeprazol; Desec; Dizprazol; Dudencer; Elgam; Emeproton; Epirazole; Erbolin; Exter; Gasec; Gastrimut; Gastroloc; Gibancer; Indurgan; Inhibitron; Inhipump; Lensor; Logastric; Lomac; Losec; Mepral; Miol; Miracid; Mopral; Morecon; Nilsec; Nopramin; Ocid; Olexin; Omapren; Omebeta 20; Omed; Omegast; Omepral; Omeprazon; Omeprol; Omesek; Omezol; Omezolan; Omid; Omisec; Omizac; Ompanyt; Ortanol; Osiren; Ozoken; Paprazol; Parizac; Pepticum; Pepticus; Peptilcer; Prazentol; Prazidec; Prazolit; Prilosec; Procelac; Proclor; Prysma; Ramezol; Regulacid; Result; Sanamidol; Secrepina; Tedec Ulceral; Ulceral; Ulcesep; Ulcometion; Ulcozol; Ulcsep; Ulsen; Ultop; Ulzol; Victrix; Zefxon; Zegerid; Zepral; Zimor; Zoltum"
"Pyrazinamide","Pirazimida; Pirazinamid; Pyrazinamdie; Pyrazine carboxylamide; Pyrazineamide; Pyrazinecarboxamide; Pyrazinecarboxylic acid amide; Pyrazinoic acid amide; PZA","Aldinamid; Aldinamide; Braccopiral; Corsazinmid; Dipimide; Eprazin; Farmizina; Isopas; Lynamide; Novamid; Pezetamid; Piraldina; Pirilene; pms-Pyrazinamide; Prazina; Pyrafat; Pyramide; Pyrazide; Pyrazinamide BP 2000; Rifater; Rozide; Tebrazid; Tebrazio; Unipyranamide; Zinamide; Zinastat"
"Metixene","Methixen [German]; Methixene; Methixene hydrochloride; Metisene [DCIT]; Metixene hydrochloride; Metixeno [INN-Spanish]; Metixenum [INN-Latin]","Atosil; Contalyl; Methixart; Tremaril; Tremaril hydrochloride; Tremonil; Trest"
"Cetirizine","Cetirizina [Spanish]; Cetirizinum [Latin]; Cetrizine Hcl","Alerlisin; Cetryn; Formistin; Hitrizin Film Tablet; Reactine; Setir; Virlix; Ziptek; Zirtek; Zyrlex; Zyrtec; Zyrtec Syrup; Zyrtec-D"
"Terfenadine","Ternadin","Aldaban; Allerplus; Cyater; Seldane; Teldane; Teldanex; Terdin; Terfex; Triludan"
"Diltiazem","d-cis-Diltiazem","Acalix; Adizem; Altiazem; Anginyl; Angizem; Anoheal; Apo-Diltiaz; Britiazim; Bruzem; Calcicard; Cardizem; Cardizem CD; Cardizem SR; Cardizen LA; Cartia XT; Citizem; Cormax; Deltazen; Dilacor; Dilacor-XR; Diladel; Dilcontin; Dilpral; Dilrene; Dilt-cd; Dilta-Hexal; Diltia; Dilticard; Dilzem; Dilzen; Endrydil; Herbesser; Incoril AP; Masdil; Novo-Diltazem; Nu-Diltiaz; Syn-Diltiazem; Tiamate; Tiazac; Tiazac Tildiem; Tiazac XC; Viazem"
"Protriptyline","Protryptyline","Amimetilina; Anafranil; Apo-Amitriptyline; Apo-Imipramine; Apo-Trimip; Asendin; Aventyl; Impril; Levate; Norpramin; Novo-Doxepin; Novo-Tripramine; Novopramine; Novotriptyn; Pertofrane; Rhotrimine; Sinequan; Surmontil; Tofranil; Triadapin 5; Triptil; Vivactil"
"Aminohippurate","Aminohippurate Sodium; Aminohippuric acid; Aminohippuric acid Sodium salt; PAH; para-Aminohippurate; Sodium p-aminohippurate; Sodium para-Aminohippurate",
"Alfuzosin","Alfusosine; alfuzosin","Uroxatral; Xatral"
"Trimethadione","Trimetadione; Trimethadion; Trimethdione","Absentol; Absetil; Convenixa; Convexina; Edion; Epidione; Epidone; Epixal; Etydion; Mino-Aleviatin; Minoaleuiatin; Minoaleviatin; Neo-Absentol; Petidion; Petidon; Petilep; Petimalin; Pitmal; Ptimal; Tioxanona; Tredione; Tricione; Tridilona; Tridion; Tridione; Tridone; Trilidona; Trimedal; Trimedone; Trimethin; Trimetin; Trioxanona; Triozanona; Tromedone; Troxidone"
"Nitisinone","nitisinone","Orfadin"
"Clobazam","clobazam","Chlorepin; Clorepin; Frisium; Mystan; Urbadan; Urbanyl"
"Minoxidil","Minossidile [Italian]; Minoxidilum [INN-Latin]","Alopexil; Alostil; Apo-Gain; Gen-Minoxidil; Loniten; Lonolox; Minodyl; Minoxigaine; Minoximen; Normoxidil; PDP; Pierminox; Prexidil; Regaine; Rogaine; Rogaine Extra Strength for Men; Rogaine for Men; Rogaine for Women; Theroxidil; Tricoxidil; Trocoxidil"
"Megestrol","Megestrol Acetate; Megestrolo [DCIT]; Megestrolum [INN-Latin]; Megestryl acetate; MGA","Magestin; Maygace; Megace; Megeron; Megestat; Megestil; Megestin; Nia; Niagestin; Ovaban; Ovarid; Volidan"
"Thioguanine","2-Amino 6MP; 2-Amino-6-mercaptopurine; 2-Amino-6-merkaptopurin; 2-Amino-6-purinethiol; 2-Aminopurin-6-thiol; 2-Aminopurine-6-thiol; 2-Aminopurine-6(1H)-thione; 6-Mercapto-2-aminopurine; 6-Mercaptoguanine; 6-Thioguanine; TG; ThG; Tioguanin; Tioguanine","Lanvis; Tabloid; Wellcome U3B"
"Methylergonovine","Methylergobasin; Methylergobasine; Methylergobrevin; Methylergometrin; Methylergometrine; Methylergonovin; methylergonovine maleate","Basofortina; Metenarin; Methergen; Methergin; Methergine; Norforms; Partergin; Ryegonovin; Spametrin-M"
"Buclizine","Buclizina [INN-Spanish]; Buclizine Dihydrochloride; Buclizine Hydrochloride; Buclizinum [INN-Latin]; Histabutyzine Dihydrochloride; Vibazine Hydrochloride","Aphilan R; Aphilan-R Base; Bucladin; Bucladin-S; Buclifen; Buclina; Buclodin; Histabuticine; Histabutizine; Histabutyzine; Histabutyzine Dihydrochloride; Histabutyzine Hydrochloride; Hitabutyzyne; Longifene; Posdel; Postafen; Softran; Vibazine"
"Aztreonam","AZT","Azactam; Corus 1020; Dynabiotic; Monobactam; Primbactam"
"Chlorzoxazone","Chloroxazone; Chlorzoxane; Chlorzoxazon","Biomioran; Escoflex; EZE-DS; Flexazone; Mioran; Miotran; Myoflexin; Myoflexine; Neoflex; Paraflex; Parafon Forte Dsc; Pathorysin; Relaxazone; Remular; Remular-S; Solaxin; Strifon Forte Dsc; Usaf Ma-10"
"Aminoglutethimide","Dl-Aminoglutethimide; P-Aminoglutethimide","Cytadren; Elipten; Orimeten"
"Mefloquine","Mefloquine HCL; Mefloquinone","Lariam"
"Sulfadiazine","SDA; Sulfadiazene; Sulfadiazin; Sulfanilamidopyrimidine; Sulfapirimidin; Sulfapyrimidin; Sulfapyrimidine; Sulphadiazine","Adiazin; Adiazine; Coco-Diazine; Cocodiazine; Codiazine; Cremodiazine; Cremotres; Debenal; Deltazina; Diazin; Diazolone; Diazovit; Diazyl; Eskadiazine; Honey Diazine; Lantrisul; Lipo-Diazine; Lipo-Levazine; Liquadiazine; Metha-Meridiazine; Microsulfon; Neazine; Neotrizine; Palatrize; Pecta-Diazine; Piridisir; Pirimal; Pyrimal; Quadetts; Quadramoid; Sanodiazine; Spofadrizine; Sterazine; Sulfa-Triple #2; Sulfacombin; Sulfaloid; Sulfatryl; Sulfazine; Sulfolex; Sulfonamides Duplex; Sulfonsol; Sulfose; Terfonyl; Theradiazine; Tri-Sulfameth; Trifonamide; Triple Sulfa; Triple Sulfas; Triple Sulfoid; Trisem; Truozine"
"Tetrahydrobiopterin","5,6,7,8 Tetrahydrobiopterin; BH4; sapropterin","Dapropterin; Kuvan; Phenoptin; Sapropterin"
"Vinorelbine","Vinorelbin; Vinorelbina [Spanish]; vinorelbine; Vinorelbine Bitartrate; Vinorelbine Ditartarate; Vinorelbine Ditartrate; Vinorelbine Tartrate; Vinorelbinum [Latin]","Navelbine; Navelbine Base"
"Anidulafungin","anidulafungin","Eraxis"
"Clozapine","Clozapin","Asaleptin; Clozaril; Fazaclo ODT; Iprox; Leponex; Lepotex"
"Sucralfate","sucralfate","Antepsin; Apo-sucralfate; Carafate; Sucramal; Sulcrate; Sulcrate Suspension Plus; Ulcar; Ulcerban; Ulcerlmin; Ulcermin; Ulcogant"
"Grepafloxacin",,"Raxar"
"Doxylamine","Dossilamina [DCIT]; Doxilminio [INN-Spanish]; Doxylaminum [INN-Latin]",
"Levonorgestrel","Levonorgestrelum [INN-Latin]; SOH-075","72-HOURS; Follistrel; Jadelle; Levlen; Levlen Ed; Levonelle; Levonova; Levora-21; Levora-28; Logynon Ed; Malloside; Microgest Ed; Microgyn; Microgynon 21; Microgynon 28; Microgynon 30 Ed; Microgynon Cd; Microlution; Microval; Minivlar 30; Mirena; Monofeme 28; Neogynon 21; Nordet; Nordette; Nordette 21; Nordette 28; NorLevo; Norplant; Norplant 2; Norplant II; Ovral-Lo; Ovranette; Ovrette; Plan B; Postinor-2; Rigevidon 21+7; Stediril 30; Tri-Levlen; Tri-Levlen 21; Triagynon; Triciclor; Trifeme 28; Trigoa; Trinordiol 21; Trinordiol 28; Trivora"
"Norepinephrine","Arterenol; L-noradrenaline; L-Norepinephrine; Noradrenaline; Norepinephrine","Levophed"
"Cidofovir","CDV; Cidofovir Anhydrous","HPMPC; Vistide"
"Mirtazapine","Mepirzepine; Mirtazapina [INN-Spanish]; mirtazapine; Mirtazapine [Usan:Ban:Inn]; Mirtazapinum [INN-Latin]; Mirtazepine","Avanza; Axit; Mirtabene; Mirtaz; Mirtazon; Norset; Promyrtil; Remergil; Remergon; Remeron; Remeron Soltab; Rexer; Zispin"
"Meprobamate","DEA No. 2820; Meprobamat [German]; Meprobamato [INN-Spanish]; Meprobamato [Italian]; Meprobamatum [INN-Latin]; Meprobamic acid; Procarbamide","3P bamate; Amepromat; Amosene; Anastress; Anathylmon; Anatimon; Andaksin; Andaxin; Aneural; Aneurol; Aneusral; Aneuxal; Aneuxral; Ansiatan; Ansietan; Ansil; Ansiowas; Anural; Anxietil; Anzil; Apascil; Apasil; Apo-Meprobamate; Appetrol; Appetrol-Sr; Arcoban; Arpon; Artolon; Ataraxine; Atraxin; Auxietil; Ayeramate; Ayermate; Bamate; Bamd 400; Bamo 400; Biobamat; Biobamate; Brobamate; Calmadin; Calmax; Calmiren; Canquil 400; Canquil-400; Carbaxin; Cirpon; Cirponyl; Coprobate; Crestanil; Cypron; Cyrpon; Dapaz; Deprol; Despasmol; Dicandiol; Diron; Diurnal; Diveron; Dormabrol; Ecuanil; Edenal; Enorden; Epicur; Epikur; Equagesic; Equanil; Equatrate; Equazine-M; Equilium; Equinil; Equitar; Erina; Estasil; Fas-Cile; Fas-Cile 200; Gadexyl; Gagexyl; Harmonin; Hartol; Holbamate; Ipsotian; Kesso-Bamate; Kessobamate; Klort; Larten; Lepenil; Lepetown; Letyl; Libiolan; Madiol; Mar-Bate; Margonil; Mendel; Mepamtin; Mepantin; Mepavlon; Mepiosine; Meposed; Mepranil; Mepriam; Meprin; Meprindon; Mepro-analgesic; Mepro-Aspirin; Meprobam; Meprobamat; Meproban; Meprocompren; Meprocon; Meprocon CMC; Meprodil; Meprodiol; Meprol; Meproleaf; Mepron; Mepronil; Meprosa; Meprosan; Meprosin; Meprospan; Meprotabs; Meprotan; Meprotanum; Meproten; Meprotil; Meprovan; Meprozine; Meptran; Mesmar; Metractyl; Metranquil; Micrainin; Milpath; Milprem; Miltamato; Miltann; Miltaun; Miltown; Miltrate; Miltuan; Miltwon; Misedant; Morbam; Multaun; My-trans; Neo-Tran; Nephentine; Nervonus; Neuramate; Oasil; Optarket; Orlevol; Orolevol; Pan-tranquil; Pancalma; Panediol; Pankalma; Pathibamate; Paxin; Pensive; Perequietil; Perequil; Perquietil; Pertranquil; Pimal; Placidon; Placitate; Prequil; Probamato; Probamyl; Probate; Procalmadiol; Procalmadol; Procalmidol; Promate; Promato; Proquanil; Protran; Q-Gesic; Quaname; Quanane; Quanil; Quietidon; Quivet; Rastenil; Reostral; Restenil; Restenyl; Restinal; Restinil; Restran; Robamate; Sadanyl; Scolazil; Sedabamate; Sedanil; Sedanyl; Sedazil; Sedoquil; Sedoselecta; Selene; Seril; Setran; Shalvaton; SK-Bamate; Solevione anastress; Sowell; Spantran; Stensolo; Tamate; Tensol; Tensonal; Trancot; Trankvilan; Tranlisant; Tranmep; Tranquil; Tranquilan; Tranquilate; Tranquilax; Tranquiline; Tranquillin; Tranquilsan; Tranquinol; Tranquisan; Trelmar; Urbil; Urbilat; Vio-Bamate; Vistabamate; Wardamate; Wyseals; Zirpon"
"Thiethylperazine","Ethylthioperazine; Theithylperazine","Norzine; Torecan"
